Customer ID,Title,First Name,Middle Name,Last Name,Suffix,Street Address1,Street Address2,City-ZipCode-State,Birth Date,Education Level,Occupation,Gender,Marital Status,Home Owner Status,Number of Cars Owned,Number of Children At Home,Total Number of Children,Annual Income,Avg Monthly Spend,eBook Subscriber Flag
11000,,Jon,V,Yang,,3761 N. 14th St,,Cleveland-44101-Ohio,4/8/66,Bachelors,Professional,M,M,1,0,0,2,137947,89,0
11001,,Eugene,L,Huang,,2243 W St.,,Seattle-98101-Washington,5/14/65,Bachelors,Professional,M,S,0,1,3,3,101141,117,1
11002,,Ruben,,Torres,,5844 Linden Land,,Omaha-68101-Nebraska,8/12/65,Bachelors,Professional,M,M,1,1,3,3,91945,123,0
11003,,Christy,,Zhu,,1825 Village Pl.,,Fort Worth-76101-Texas,2/15/68,Bachelors,Professional,F,S,0,1,0,0,86688,50,0
11004,,Elizabeth,,Johnson,,7553 Harness Circle,,Oakland-94601-California,8/8/68,Bachelors,Professional,F,S,1,4,5,5,92771,95,1
11005,,Julio,,Ruiz,,7305 Humphrey Drive,,Corpus Christi-78401-Texas,8/5/65,Bachelors,Professional,M,S,1,1,0,0,103199,78,1
11006,,Janet,G,Alvarez,,2612 Berry Dr,,Chula Vista-91910-California,12/6/65,Bachelors,Professional,F,S,1,1,0,0,84756,54,1
11007,,Marco,,Mehta,,942 Brook Street,,Anaheim-92801-California,5/9/64,Bachelors,Professional,M,M,1,2,3,3,109759,130,1
11008,,Rob,,Verhoff,,624 Peabody Road,,Sacramento-94203-California,7/7/64,Bachelors,Professional,F,S,1,3,4,4,88005,85,1
11009,,Shannon,C,Carlson,,3839 Northgate Road,,Chula Vista-91910-California,4/1/64,Bachelors,Professional,M,S,0,1,0,0,106399,74,0
11010,,Jacquelyn,C,Suarez,,7800 Corrinne Court,,Corpus Christi-78401-Texas,2/6/64,Bachelors,Professional,F,S,0,1,0,0,81294,49,0
11011,,Curtis,,Lu,,1224 Shoenic,,Philadelphia-19101-Pennsylvania,11/4/63,Bachelors,Professional,M,M,1,4,4,4,94029,146,1
11012,,Lauren,M,Walker,,4785 Scott Street,,Long Beach-90801-California,1/18/68,Bachelors,Management,F,M,1,2,0,2,99245,55,1
11013,,Ian,M,Jenkins,,7902 Hudson Ave.,,Atlanta-30301-Georgia,8/6/68,Bachelors,Management,M,M,1,3,0,2,115859,84,0
11014,,Sydney,,Bennett,,9011 Tank Drive,,Oakland-94601-California,5/9/68,Bachelors,Management,F,S,0,3,0,3,105157,49,0
11015,,Chloe,,Young,,244 Willow Pass Road,,Toledo-43601-Ohio,2/27/79,Partial College,Skilled Manual,F,S,0,1,0,0,40011,39,0
11016,,Wyatt,L,Hill,,9666 Northridge Ct.,,Boston-2101-Massachusetts,4/28/79,Partial College,Skilled Manual,M,M,1,1,0,0,46808,68,0
11019,,Luke,L,Lal,,7832 Landing Dr,,Detroit-48201-Michigan,3/7/78,High School,Skilled Manual,M,S,0,2,0,0,49455,64,1
11020,,Jordan,C,King,,7156 Rose Dr.,,Mesa-85201-Arizona,9/20/78,High School,Skilled Manual,M,S,0,2,0,0,43857,64,0
11023,,Seth,M,Edwards,,4499 Valley Crest,,Bakersfield-93301-California,10/11/78,Partial College,Skilled Manual,M,M,1,1,0,0,50046,71,0
11024,,Russell,,Xie,,8734 Oxford Place,,Oakland-94601-California,9/17/78,Partial College,Skilled Manual,M,M,1,2,0,0,91276,77,0
11025,,Alejandro,,Beck,,2596 Franklin Canyon Road,,Louisville-40201-Kentucky,12/23/45,Partial High School,Clerical,M,M,1,2,1,2,24334,70,0
11026,,Harold,,Sai,,8211 Leeds Ct.,,Washington-20001-DC,4/3/46,Partial College,Clerical,M,S,0,2,0,2,61905,63,0
11027,,Jessie,R,Zhao,,213 Valencia Place,,Charlotte-28201-North Carolina,12/7/46,Partial College,Clerical,M,M,1,2,0,2,49349,76,0
11028,,Jill,,Jimenez,,9111 Rose Ann Ave,,El Paso-79901-Texas,4/11/46,Partial College,Clerical,F,M,1,2,0,2,44068,43,0
11031,,Theresa,G,Ramos,,6465 Detroit Ave.,,Chicago-60601-Illinois,8/22/47,High School,Skilled Manual,F,M,1,2,0,4,18843,43,0
11032,,Denise,,Stone,,626 Bentley Street,,Baltimore-21201-Maryland,6/11/47,High School,Skilled Manual,F,M,1,2,0,4,15861,42,0
11033,,Jaime,,Nath,,5927 Rainbow Dr,,Los Angeles-90001-California,9/23/47,High School,Skilled Manual,M,M,1,2,0,4,35822,58,0
11034,,Ebony,,Gonzalez,,5167 Condor Place,,Stockton-95201-California,6/19/47,High School,Skilled Manual,F,M,1,2,0,4,29017,39,0
11035,,Wendy,,Dominguez,,1873 Mt. Whitney Dr,,Anchorage-99501-Alaska,2/24/48,Partial High School,Clerical,F,M,1,2,1,2,11721,50,0
11036,,Jennifer,C,Russell,,3981 Augustine Drive,,Lexington-40502-Kentucky,12/18/78,Partial College,Skilled Manual,F,M,1,2,0,0,84890,52,0
11037,,Chloe,M,Garcia,,8915 Woodside Way,,Bakersfield-93301-California,11/27/77,Partial High School,Clerical,F,S,0,2,0,0,48651,46,0
15127,,Wesley,K,Yang,,74 Jamie Way,,Newark-7101-New Jersey,2/14/75,Bachelors,Professional,M,S,0,2,0,0,129497,73,1
11040,,Jesse,,Murphy,,3350 Kingswood Circle,,Atlanta-30301-Georgia,8/1/77,Partial College,Skilled Manual,M,M,1,2,0,0,56248,65,0
11041,,Amanda,M,Carter,,5826 Escobar,,Plano-75023-Texas,10/16/77,Partial College,Skilled Manual,F,M,1,2,0,0,78170,51,0
11042,,Megan,J,Sanchez,,1397 Paraiso Ct.,,Albuquerque-87101-New Mexico,6/13/77,Partial College,Skilled Manual,F,M,1,2,0,0,70623,55,0
11043,,Nathan,M,Simmons,,1170 Shaw Rd,,Wichita-67201-Kansas,2/24/76,Partial College,Skilled Manual,M,M,1,2,0,0,78150,77,0
11044,,Adam,L,Flores,,6935 Candle Dr,,El Paso-79901-Texas,5/24/49,Partial High School,Clerical,M,M,1,2,1,2,24007,76,0
11045,,Leonard,G,Nara,,7466 La Vista Ave.,,Santa Ana-92701-California,5/19/50,High School,Skilled Manual,M,S,0,2,0,3,51472,63,0
11046,,Christine,,Yuan,,2356 Orange St,,Indianapolis-46201-Indiana,3/22/50,High School,Skilled Manual,F,M,1,2,0,3,50798,48,0
11047,,Jaclyn,D,Lu,,2812 Mazatlan,,Honolulu-96801-Hawaii,2/27/50,High School,Skilled Manual,F,M,0,2,0,3,42738,43,0
11049,,Carol,C,Rai,,6064 Madrid,,Fort Wayne-46801-Indiana,7/18/80,Partial High School,Clerical,F,S,1,2,0,0,48422,41,1
11050,,Alan,,Zheng,,2741 Gainborough Dr.,,Cleveland-44101-Ohio,9/7/51,High School,Skilled Manual,M,M,1,2,0,3,58585,73,0
11051,,Daniel,,Johnson,,8085 Sunnyvale Avenue,,Denver-80201-Colorado,8/4/51,High School,Skilled Manual,M,S,0,2,0,3,45982,64,0
11052,,Heidi,,Lopez,,2514 Via Cordona,,Arlington-76010-Texas,8/7/51,Partial College,Clerical,F,S,0,2,0,2,50790,49,0
11053,,Ana,E,Price,,1660 Stonyhill Circle,,Miami-33101-Florida,8/20/80,Partial College,Skilled Manual,F,M,0,2,0,0,91599,51,0
11054,,Deanna,,Munoz,,5825 B Way,,Aurora-80010-Colorado,3/10/52,Partial College,Skilled Manual,F,M,1,2,0,2,50018,43,0
11055,,Gilbert,,Raje,,8811 The Trees Dr.,,Riverside-92501-California,3/5/52,Partial College,Skilled Manual,M,M,1,2,0,2,53459,75,0
11056,,Michele,L,Nath,,5464 Janin Pl.,,Jacksonville-32099-Florida,4/3/53,Partial College,Skilled Manual,F,M,1,2,0,3,38588,46,0
11057,,Carl,J,Andersen,,6930 Lake Nadine Place,,Los Angeles-90001-California,10/12/53,Graduate Degree,Management,M,M,1,2,0,2,119540,82,0
11058,,Marc,,Diaz,,6645 Sinaloa,,Baltimore-21201-Maryland,4/27/54,Partial College,Skilled Manual,M,M,1,2,0,2,119982,87,0
11059,,Ashlee,J,Andersen,,8255 Highland Road,,Jacksonville-32099-Florida,4/1/54,Partial College,Skilled Manual,F,S,1,2,0,2,86953,45,0
11060,,Jon,L,Zhou,,6574 Hemlock Ave.,,San Diego-92101-California,3/17/54,Partial College,Skilled Manual,M,M,1,2,0,2,116368,87,0
11061,,Todd,M,Gao,,8808 Geneva Ave,,Tulsa-74101-Oklahoma,2/27/54,Partial College,Skilled Manual,M,M,1,2,0,2,110712,84,1
11062,,Noah,D,Powell,,9794 Marion Ct,,Tampa-33601-Florida,9/2/75,High School,Skilled Manual,M,M,1,2,0,0,52145,71,0
11063,,Angela,,Murphy,,4927 Virgil Street,# 21,Colorado Springs-80901-Colorado,4/7/75,High School,Skilled Manual,F,S,1,2,0,0,49609,40,0
11064,,Chase,,Reed,,2721 Alexander Pl.,,Fresno-93701-California,12/7/75,High School,Skilled Manual,M,M,1,2,0,0,58306,76,0
11065,,Jessica,,Henderson,,9343 Ironwood Way,,Omaha-68101-Nebraska,10/9/73,Partial College,Skilled Manual,F,M,0,2,0,0,73388,48,1
11066,,Grace,T,Butler,,4739 Garden Ave.,,Charlotte-28201-North Carolina,11/27/73,Partial College,Professional,F,M,1,2,0,0,61686,50,0
11067,,Caleb,F,Carter,,9563 Pennsylvania Blvd.,,Seattle-98101-Washington,9/25/76,Partial College,Professional,M,S,1,2,0,0,96049,70,1
11070,,Willie,T,Raji,,6260 Vernal Drive,,Albuquerque-87101-New Mexico,4/5/55,High School,Skilled Manual,M,M,1,2,0,2,109883,87,0
11071,,Linda,,Serrano,,9808 Shaw Rd.,,Louisville-40201-Kentucky,6/26/55,High School,Skilled Manual,F,S,1,2,0,2,106718,51,0
11072,,Casey,,Luo,,9513 Roslyn Drive,,Fort Wayne-46801-Indiana,2/6/55,High School,Skilled Manual,F,S,0,2,0,2,97646,52,0
11073,,Amy,,Ye,,2262 Kirkwood Ct.,,Colorado Springs-80901-Colorado,8/14/56,High School,Skilled Manual,F,S,1,2,0,2,58916,51,0
11074,,Levi,A,Arun,,4661 Bluetail,,Atlanta-30301-Georgia,8/28/56,High School,Skilled Manual,M,S,1,2,0,2,93934,74,0
11075,,Felicia,L,Jimenez,,786 Eastgate Ave,,Cincinnati-45201-Ohio,11/16/57,High School,Professional,F,S,1,2,0,2,99137,51,0
11076,,Blake,,Anderson,,5436 Clear,# 101,Fort Wayne-46801-Indiana,7/13/57,High School,Professional,M,S,1,2,0,2,112044,73,0
